"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"110","adverbial","narrative","before","wrth","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"111","adverbial","historic","before",NA,"Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"112","adverbial","narrative","after","rac","NP","P","PP","G","intransitive","achievement",NA
"113","adverbial","narrative","after","rac",NA,NA,NA,NA,"intransitive","achievement",NA
"114","adverbial","narrative","after","rac","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"115","adverbial","narrative","after","rac","NP","P","implizit","S/A","transitive","state","P=S/A(UP)implicit"
"116","adverbial","historic","after","rac","PP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"117","adverbial","narrative","after","rac","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"118","adverbial","historic","after","rac","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"119","adverbial","narrative","before","rac",NA,NA,NA,NA,"transitive","activity",NA
"120","adverbial","narrative","before","rac","implizit","S/A","NP","P","transitive","activity",NA
"121","adverbial","narrative","before","rac","PP","G","Posspro","Poss","transitive","activity",NA
"122","adverbial","narrative","before","rac","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"123","adverbial","narrative","before","rac","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"124","adverbial","narrative","before","rac","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"125","absolute","narrative","after","ar","NP","P",NA,"S/A","either","activity","P=S/A(UP)"
"126","absolute","narrative","after","yn","NP","P","implizit","S/A","intransitive","state","P=S/A(UP)implicit"
"127","absolute","narrative","after","yn","PP","S/A","Pro","S/A","transitive","state","S/A=S/A(UP)"
"128","absolute","narrative","after","yn","Verb","S/A",NA,"S/A","intransitive","achievement","S/A=S/A(UP)"
"129","absolute","narrative","after","yn","Verb","S/A","Pro","S/A","transitive","activity","S/A=S/A(UP)"
"130","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"131","absolute","narrative","after","yn","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"132","absolute","narrative","after","yn","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
